,age,gender,x,y,w,h,yaw,pitch,roll,score,left_eyebrow_x_mean,left_eyebrow_y_mean,left_eyebrow_x_min,left_eyebrow_x_max,left_eyebrow_y_min,left_eyebrow_y_max,jaw_x_mean,jaw_y_mean,jaw_x_min,jaw_x_max,jaw_y_min,jaw_y_max,left_eye_x_mean,left_eye_y_mean,left_eye_x_min,left_eye_x_max,left_eye_y_min,left_eye_y_max,lip_x_mean,lip_y_mean,lip_x_min,lip_x_max,lip_y_min,lip_y_max,nose_x_mean,nose_y_mean,nose_x_min,nose_x_max,nose_y_min,nose_y_max,right_eye_x_mean,right_eye_y_mean,right_eye_x_min,right_eye_x_max,right_eye_y_min,right_eye_y_max,right_eyebrow_x_mean,right_eyebrow_y_mean,right_eyebrow_x_min,right_eyebrow_x_max,right_eyebrow_y_min,right_eyebrow_y_max,identification,rid,width,height
0,25.829795837402344,0.0005682039773091,0.4384260191867526,0.1752698583510315,0.0905800949119488,0.1176662111745297,0.076934665441513,-0.067258171737194,-0.0164466556161642,0.9903563857078552,0.4970721274490063,0.203637977391673,0.484787961391143,0.5084237265032071,0.200873379251047,0.208128263066574,0.4823667086170953,0.2614743064571513,0.4491100481348531,0.5190971712627231,0.2218170611707573,0.2908994077420251,0.4951880485863584,0.2173461421636567,0.4891327697252445,0.5012223275189281,0.2150028690595269,0.2193122906935548,0.4786129302431424,0.2600304025548351,0.4668889301525212,0.4920084123467935,0.2540779954599199,0.2663405181814745,0.4778469957384378,0.2359806799987136,0.4712155265987769,0.4851357646091636,0.2153483489350899,0.2454098728676784,0.4644730936072916,0.2175256295105175,0.4590359697283606,0.4701457029046056,0.2153243769536959,0.2194831524286981,0.462462256218742,0.2039592322404678,0.4533708740315601,0.4724787314736851,0.2014985780640973,0.2078908296382208,PS0100100101100356900000,a2509f1bbeb04335152a357eef593713,669,515
1,19.629600524902344,0.2323288023471832,0.4974992191090303,0.2279156298676798,0.0712760925292968,0.1001400120002178,-0.5787353515625,-0.1359693706035614,0.0449345596134662,0.9481770992279052,0.5477371489924652,0.2336338386326136,0.5388229383713213,0.556230119549017,0.2312410961649373,0.2366456923199771,0.5335300747706571,0.2967193132292106,0.4993960343205879,0.5655809058892363,0.247695382303778,0.3372856088572202,0.5462614224330161,0.2481553019826248,0.541679848923867,0.5508206052476623,0.2456988643555097,0.2503701922213276,0.5351651975081794,0.3029735537920199,0.5248644373521336,0.5444633235723256,0.2962100119597388,0.3117762621514126,0.5353777324486195,0.2741591684968177,0.5295295834147863,0.5409854620988507,0.2491561100364826,0.2850170609896083,0.5218155436444148,0.2487890242519269,0.5170728240327651,0.5266039305752008,0.246160956482179,0.251103785213805,0.5202727056117663,0.2344670616858534,0.5112029707492264,0.5299142832798123,0.2319415682315954,0.2373027699453141,PS0100100101100738000000,8446173f9647b9ff44d8375f176732ba,340,242
2,58.37859344482422,0.8381388187408447,0.4732209167480469,0.4791572265625,0.0714853820800781,0.0476569417317708,-0.2758283019065857,0.1542725563049316,0.2408632785081863,0.9328005313873292,0.5247497541584456,0.4868031939916958,0.5202493327602133,0.5294029195765717,0.4858593936044572,0.4882734125938916,0.5196767588365735,0.5117729244798617,0.4852751774445259,0.5383543711563165,0.4936526073561156,0.5221127302019314,0.5260718456363626,0.4924598318884536,0.5229052431957053,0.5292269255731721,0.4915409908769826,0.4932370539460729,0.5262280727679362,0.5092905268729462,0.5167287436849816,0.5326998475464003,0.5065916938732553,0.5119743859515214,0.5233949289677277,0.5004272894194024,0.5185671653663273,0.5283887426702655,0.4934733795669084,0.5044300503219905,0.5064572484538344,0.4963648367351439,0.502504367780374,0.5104317299872345,0.4952669686684385,0.4973942230815184,0.5028810776424357,0.4911116847658641,0.4953915219511618,0.5114315051840181,0.4895637904107774,0.4942238731385985,PS0100100100900254400000,3cd4d8459806093cf496a38f10b5fb27,2000,3000
3,43.82560729980469,0.263086587190628,0.5745041097005208,0.5841987778827725,0.02372705078125,0.0242525220932708,0.0742960348725318,-0.0767179280519485,0.0189369320869445,0.9929925203323364,0.591694362924414,0.5891672755688705,0.5888731545046747,0.5942506246776164,0.5886502346451381,0.5900878128978254,0.586657084745719,0.6010011966859872,0.5778625211067748,0.5957157979409053,0.5928480153451546,0.6069559101910637,0.5910973805325066,0.5921118212552376,0.5895383779407322,0.5926250367235935,0.5916538415626175,0.5924837357910576,0.5867742656559317,0.6005144613265424,0.583107983911045,0.5903823276785511,0.599246676644561,0.6020432627552508,0.586893033949195,0.5958231807791883,0.58489674376285,0.5888000641929295,0.5916928642457255,0.5977175185087357,0.5827774134162618,0.5918462921548067,0.5812441651220277,0.5843282183046296,0.5913943427726484,0.5922003088864534,0.5823490316142846,0.5888782401690775,0.5796901355723462,0.5851918452459697,0.5883551183401795,0.5896612775726584,PS0100100100100650400007,d01d11b4318b75f0de92c23d2159bc87,3000,2935
4,40.084434509277344,0.3895303606986999,0.6186638590494792,0.6501565078657368,0.01722119140625,0.0176026638362436,0.0867548510432243,-0.1362106055021286,-0.0177636016160249,0.9152570366859436,0.6302024232051957,0.6555071975370896,0.628038956180603,0.6322285264881017,0.6551274768425189,0.6560145742077363,0.6277515693894756,0.6628168909040629,0.6218598189246763,0.6337524282335925,0.6574011997200565,0.6667675395506898,0.6299097291978426,0.657326488249068,0.6288292554977971,0.6309943196988121,0.6570208569754785,0.6575892282051932,0.6272427376003061,0.6627994792386652,0.6249964356893714,0.6297375340082838,0.6619906537854342,0.663748543100349,0.6269793128819179,0.6598926203751784,0.6258189474683178,0.6283326814411131,0.6572266807408805,0.6611128170837313,0.6243867669662092,0.6576043302576575,0.6233950996283597,0.6254316038555155,0.6573046178739633,0.6578722999887731,0.6239075351660832,0.6558133780881381,0.6222834262433851,0.6257357407354905,0.6554773352756814,0.6563954394541758,PS0100100100100650400007,d01d11b4318b75f0de92c23d2159bc87,3000,2935
5,36.34064102172852,0.1441887468099594,0.59706396484375,0.3304182582250852,0.0175579427083333,0.0179467066386286,0.0698843598365783,-0.0711377710103988,-0.0872321277856826,0.860370397567749,0.6086896029897779,0.3300743469193992,0.6060822402257783,0.6112912506683419,0.3295916557223523,0.3307516746881528,0.6075610240488609,0.3403454214572373,0.5987834619340177,0.6142726026554902,0.3317913532661648,0.3456558144587018,0.6088002445332447,0.3322452497316224,0.6074890318393086,0.6101331693386969,0.3317750695432588,0.3326290017246008,0.6070687161563912,0.3401922480524956,0.604267271520632,0.6100973066794375,0.3387551957389159,0.3418062827168699,0.6059616541910434,0.3360649746801167,0.6047909961161514,0.6078438029971904,0.3326234460939408,0.3376662091202947,0.6020711019061248,0.3338777199987039,0.6008596428294201,0.6033721798161821,0.3333832376345209,0.3343114318761255,0.6010275306851837,0.3319404467703716,0.5990977514460372,0.6034130310981844,0.3313237667608869,0.3332682706527924,PS0100100100100650400007,d01d11b4318b75f0de92c23d2159bc87,3000,2935
8,32.528709411621094,0.564281165599823,0.7094519856770833,0.220512341206216,0.059600341796875,0.088209832543861,-0.1307702958583831,-0.2771487832069397,-0.1812350153923034,0.9953059554100036,0.7579893107291388,0.2450934720670235,0.7506696971811663,0.7641550804941991,0.2433704075778802,0.2487312418395108,0.7370552284815718,0.2811731371528047,0.7142761120750223,0.7643572465705761,0.2421136957445086,0.3059867062324355,0.7549643631079349,0.2550924827048026,0.7507007541830029,0.7589865280950284,0.2530012220652433,0.2570841201466253,0.7397495876899526,0.2849605035234598,0.7297841263278871,0.7483350365183044,0.2802970781241939,0.2905440590400839,0.7429335900774006,0.2685505405985309,0.7366703557281133,0.7469297810763081,0.2518011589642812,0.2760186098421798,0.7324305707653256,0.248590159099607,0.7279256029246974,0.7368475551352796,0.2463507647728295,0.2506561756933534,0.7325969141948474,0.2376102550639321,0.7237333879689705,0.7411737062533928,0.2351053899068614,0.2419965790749801,PS0100100100900331300000,8c611b1bcc044f764eb8dce6ef05c465,3000,2027
9,37.62742614746094,0.0927231162786483,0.525111572265625,0.3552996461827824,0.0802860107421875,0.1188249103412524,0.3075641095638275,-0.2434541881084442,0.1936147361993789,0.9925782084465028,0.5639678951913171,0.3776487572638408,0.5544884660523239,0.5738692202818114,0.3747310417539995,0.3828317451571659,0.5630747086703828,0.4316626097726914,0.5329455785769569,0.589092679907463,0.3843288673410659,0.4614749666190857,0.5647545562082746,0.3921985957138072,0.5599878678261652,0.5696707461890997,0.3896337827402716,0.3946661544027915,0.55733284004468,0.4367750991626319,0.548971155325853,0.5682257333656773,0.4312391367746327,0.4435044576604863,0.5525175745856462,0.4168376080159082,0.5485736324711703,0.5598181692064099,0.3970099857767841,0.4255207808870774,0.5406411593017115,0.4000206998286193,0.5366491604129842,0.5449507083963865,0.3976916524997177,0.4022821006252445,0.5369153286802323,0.386694315688837,0.5312948410627869,0.5434572384186439,0.3850607661045302,0.3897939920981224,PS0100100100900331300000,8c611b1bcc044f764eb8dce6ef05c465,3000,2027
10,45.19758605957031,0.6234344244003296,0.1774913736979166,0.4425578481996947,0.0433491007486979,0.0641575245417334,-0.955016016960144,-0.1802242994308471,-0.0084617622196674,0.9453646540641784,0.2131823125961517,0.4543903388186119,0.2097946115602341,0.2160871322092425,0.453458460955891,0.4553658648041869,0.2008941700323072,0.4853703249322662,0.1851944740629636,0.2156184542876823,0.4611975301165497,0.5026385845296361,0.2119416514158632,0.4632272626666139,0.2095965244557301,0.214151686571519,0.4619353845397333,0.464398844211271,0.2044764270377034,0.4882606234928144,0.1985147879825284,0.2086858479779281,0.4854888844794517,0.4920615284936359,0.2061428083490232,0.4752747396872043,0.2022730913854902,0.2086989861235827,0.4631714164727696,0.4804613549512489,0.1980866744646353,0.4617554926293003,0.1951889023766659,0.2008268494381045,0.46027151228392,0.4631355052416412,0.1978754183465867,0.4526939437782006,0.1923575782448945,0.2032024229552577,0.4514619490097219,0.4545032373231698,PS0100100100900331300000,8c611b1bcc044f764eb8dce6ef05c465,3000,2027
11,37.378814697265625,0.0127832479774951,0.4264611670432782,0.3554290178910042,0.0551058508355521,0.0715841348888804,0.5670669078826904,-0.2774303555488586,0.1919940263032913,0.9625614881515504,0.4450457478814275,0.3588556798991494,0.4380142133355755,0.4531314484786073,0.3560013017233261,0.3641348217689996,0.4551303587563389,0.3999294844999087,0.4296100778729238,0.4744599767094192,0.3611011971279049,0.4215706405834208,0.4476385707021271,0.3683147348537758,0.4445537960338806,0.4509865620616575,0.3661484080213962,0.3707499059969183,0.4483308109453684,0.4018704473964865,0.442921352943739,0.4562908843672625,0.3964174301277374,0.4072528578543321,0.4406869817740902,0.3876221205185758,0.4368141378564701,0.4469860936833718,0.3746914500108905,0.3945347809518285,0.4320009000105755,0.3794299825287153,0.4297875974254985,0.4345467352068106,0.3775649624133286,0.3815520018964832,0.4276919341515178,0.3716110302494981,0.4254416028624718,0.4312703642177229,0.3693240709611454,0.3755010515875724,PS0100100101101455900000,3cc0b1fd429b0acb027c0f7f968980ea,669,515
